Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2026-04-20,253.7100067138672,258.5,252.55999755859375,255.0,3879118
2026-04-17,253.47000122070312,255.64999389648438,251.0399932861328,254.6699981689453,5624400
2026-04-16,251.0,251.22000122070312,246.1300048828125,248.75,4817500
2026-04-15,244.8000030517578,246.05999755859375,240.99000549316406,242.25,3879500
2026-04-14,240.27000427246094,241.5399932861328,238.1199951171875,238.75,3777300
2026-04-13,237.82000732421875,238.07000732421875,231.6999969482422,233.6300048828125,5349600
2026-04-10,230.75999450683594,239.27000427246094,230.50999450683594,239.19000244140625,5869400
2026-04-09,237.17999267578125,241.74000549316406,233.75999450683594,240.8800048828125,5078600
2026-04-08,241.74000549316406,250.0,240.8000030517578,248.6300048828125,4771500
2026-04-07,245.07000732421875,245.75999450683594,241.10000610351562,245.32000732421875,2356100
2026-04-06,246.74000549316406,248.89999389648438,244.74000549316406,248.13999938964844,3376000
2026-04-02,248.16000366210938,248.2100067138672,241.49000549316406,243.0,3350900
2026-04-01,243.13999938964844,246.25999450683594,240.13999938964844,242.1199951171875,4228700
2026-03-31,242.38999938964844,242.85000610351562,236.3800048828125,240.27000427246094,4750300
2026-03-30,237.25,240.2100067138672,236.1300048828125,237.8000030517578,3882600
2026-03-27,236.33999633789062,239.44000244140625,233.75,238.85000610351562,4853700
2026-03-26,241.6699981689453,246.6699981689453,239.8000030517578,240.55999755859375,3606800
2026-03-25,241.38999938964844,246.19000244140625,238.0,243.60000610351562,4207900
2026-03-24,240.58999633789062,247.11000061035156,238.0,246.4499969482422,4151500
2026-03-23,248.44000244140625,251.35000610351562,244.7100067138672,246.5,4972000
2026-03-20,241.77000427246094,250.27999877929688,241.77000427246094,249.0,11314100
2026-03-19,250.3699951171875,252.19000244140625,248.25,249.42999267578125,4249500
2026-03-18,251.60000610351562,258.2799987792969,250.16000366210938,254.16000366210938,5177000
2026-03-17,256.1099853515625,256.3900146484375,250.0,250.50999450683594,5840100
2026-03-16,249.25,252.1999969482422,246.10000610351562,247.8699951171875,5674200
2026-03-13,246.27999877929688,249.72000122070312,244.7100067138672,247.6699981689453,4338400
2026-03-12,247.67999267578125,250.0500030517578,245.63999938964844,247.10000610351562,5547700
2026-03-11,248.8699951171875,253.72000122070312,247.1999969482422,250.00999450683594,4008500
2026-03-10,250.1999969482422,253.44000244140625,246.5500030517578,253.25999450683594,4938000
2026-03-09,253.3300018310547,258.0799865722656,251.57000732421875,255.3800048828125,6126600
2026-03-06,258.8500061035156,259.3999938964844,252.2100067138672,256.44000244140625,6234400
2026-03-05,256.54998779296875,260.3800048828125,249.0,249.32000732421875,9894600
2026-03-04,250.05999755859375,250.85000610351562,244.9600067138672,245.75,6085000
2026-03-03,245.27999877929688,246.08999633789062,234.2899932861328,236.35000610351562,6960400
2026-03-02,239.3699951171875,240.77999877929688,233.77999877929688,235.6999969482422,6220300
2026-02-27,240.2100067138672,240.2100067138672,234.57000732421875,238.07000732421875,6642200
2026-02-26,242.00999450683594,247.49000549316406,238.9499969482422,239.7100067138672,7343100
2026-02-25,237.5399932861328,239.5500030517578,231.22000122070312,233.22000122070312,8569700
2026-02-24,229.32000732421875,236.58999633789062,223.6300048828125,227.8000030517578,13379800
2026-02-23,223.35000610351562,255.19000244140625,220.72000122070312,254.3699951171875,19522900
2026-02-20,257.1600036621094,259.0400085449219,253.8000030517578,255.1999969482422,4708600
2026-02-19,256.2799987792969,258.2799987792969,253.50999450683594,256.0,4948700
2026-02-18,260.7900085449219,261.1099853515625,256.25,258.6400146484375,3949200
2026-02-17,258.30999755859375,260.70001220703125,254.64999389648438,259.20001220703125,4929700
2026-02-13,262.3800048828125,264.6600036621094,256.6400146484375,260.0,6842600
2026-02-12,259.5199890136719,271.29998779296875,257.2200012207031,270.29998779296875,12565400
2026-02-11,272.80999755859375,293.5,272.3599853515625,292.3399963378906,7628200
2026-02-10,291.760009765625,297.6099853515625,290.3299865722656,294.989990234375,3837300
2026-02-09,294.6600036621094,296.03218510520963,289.7679128197002,294.23244867464183,4627800
2026-02-06,297.23529052734375,298.18986991698904,289.0121859631832,290.84175094315276,3744300
2026-02-05,288.24658203125,290.15568025280174,283.48372880690334,284.4780596477942,5532800
2026-02-04,287.41131591796875,289.75795246936974,277.3785214272188,289.75795246936974,8708000
2026-02-03,292.6415100097656,311.2056803292161,282.2408178161751,310.6289514433088,11466500
2026-02-02,312.94573974609375,314.84491519200486,304.6729003094896,305.76667024490536,4581200
2026-01-30,304.9612731933594,306.03513712228397,298.030786196867,305.8561648582246,5940700
2026-01-29,307.4868469238281,318.0864168946272,301.74956913108724,316.0579735658705,10124900
2026-01-28,292.49237060546875,294.2722313485684,289.6088171686853,292.5023236243714,5790300
2026-01-27,292.19403076171875,295.64435980945325,291.60737923821625,295.47534056847104,2954900
2026-01-26,294.6500244140625,295.13726712681165,291.47813716731935,291.4980128587219,3726900
2026-01-23,290.7821044921875,292.6713269621973,288.14713391470787,292.4028685675528,3298400
2026-01-22,292.9994812011719,299.2239716088382,291.8659294811702,297.7225526787075,3670200
